drug,reaction,a,b,c,d,ROR,PRR
ACETAMINOPHEN,DRUG INTERACTION,1,2,12,4985,207.71,138.81
ACETAMINOPHEN,HYPOKALAEMIA,1,2,2,4995,1248.75,832.83
ACETAMINOPHEN,METABOLIC ACIDOSIS,1,2,1,4996,2498.0,1665.67
ACTEMRA,ABDOMINAL PAIN,4,436,23,4537,1.81,1.8
ACTEMRA,ABDOMINAL PAIN UPPER,3,437,13,4547,2.4,2.39
ACTEMRA,ACNE,1,439,6,4554,1.73,1.73
ACTEMRA,ADENOMA BENIGN,1,439,0,4560,,
ACTEMRA,ALANINE AMINOTRANSFERASE INCREASED,2,438,5,4555,4.16,4.15
ACTEMRA,ALOPECIA,2,438,14,4546,1.48,1.48
ACTEMRA,ANXIETY,1,439,16,4544,0.65,0.65
ACTEMRA,ARTHRALGIA,8,432,44,4516,1.9,1.88
ACTEMRA,ARTHRITIS,3,437,26,4534,1.2,1.2
ACTEMRA,ARTHRODESIS,1,439,0,4560,,
ACTEMRA,ARTHROPATHY,4,436,14,4546,2.98,2.96
ACTEMRA,ARTHROPOD BITE,1,439,4,4556,2.59,2.59
ACTEMRA,ASPARTATE AMINOTRANSFERASE INCREASED,2,438,5,4555,4.16,4.15
ACTEMRA,ASTHENIA,2,438,31,4529,0.67,0.67
ACTEMRA,BACK PAIN,3,437,24,4536,1.3,1.3
ACTEMRA,BASAL CELL CARCINOMA,2,438,5,4555,4.16,4.15
ACTEMRA,BLADDER NEOPLASM,1,439,0,4560,,
ACTEMRA,BLOOD CHOLESTEROL INCREASED,2,438,7,4553,2.97,2.96
ACTEMRA,BLOOD PARATHYROID HORMONE DECREASED,2,438,4,4556,5.2,5.18
ACTEMRA,BLOOD PRESSURE DIASTOLIC ABNORMAL,2,438,3,4557,6.94,6.91
ACTEMRA,BLOOD PRESSURE DIASTOLIC DECREASED,2,438,6,4554,3.47,3.45
ACTEMRA,BLOOD PRESSURE DIASTOLIC INCREASED,1,439,2,4558,5.19,5.18
ACTEMRA,BLOOD PRESSURE FLUCTUATION,2,438,1,4559,20.82,20.73
ACTEMRA,BLOOD PRESSURE INCREASED,2,438,35,4525,0.59,0.59
ACTEMRA,BLOOD PRESSURE SYSTOLIC ABNORMAL,2,438,3,4557,6.94,6.91
ACTEMRA,BLOOD PRESSURE SYSTOLIC INCREASED,4,436,19,4541,2.19,2.18
ACTEMRA,BLOOD URINE PRESENT,1,439,2,4558,5.19,5.18
ACTEMRA,BODY TEMPERATURE DECREASED,4,436,10,4550,4.17,4.15
